fitness,structure
3.1979785,"{'opt': 'RMSprop', 'learning_rate': 0.01, 'n_hidden_units': 64, 'dropout': 0.4459680010376012, 'seq_len': 24, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.57183,"{'opt': 'SGD', 'learning_rate': 0.009733244700790789, 'n_hidden_units': 32, 'dropout': 0.21236423886047215, 'seq_len': 22, 'weight_decay': 0, 'h2': 126, 'features': ['SENT', 'BRENT Close']}"
6.782205,"{'opt': 'Adam', 'learning_rate': 0.01, 'n_hidden_units': 4, 'dropout': 0.2, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.6131096,"{'opt': 'SGD', 'learning_rate': 0.008803207134321814, 'n_hidden_units': 32, 'dropout': 0.2708546323949261, 'seq_len': 29, 'weight_decay': 0, 'h2': 94, 'features': ['BRENT Close', 'SENT']}"
2.4447463,"{'opt': 'SGD', 'learning_rate': 0.009555131269391679, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 7, 'weight_decay': 0, 'h2': 98, 'features': ['BRENT Close', 'SENT']}"
3.3479412,"{'opt': 'Adamax', 'learning_rate': 0.009860951477308444, 'n_hidden_units': 32, 'dropout': 0.2, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
33.63663,"{'opt': 'AdamW', 'learning_rate': 0.01, 'n_hidden_units': 16, 'dropout': 0.3910535472576602, 'seq_len': 28, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.4309993,"{'opt': 'SGD', 'learning_rate': 0.007343636686255816, 'n_hidden_units': 16, 'dropout': 0.402534668828962, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
3.7386417,"{'opt': 'SGD', 'learning_rate': 0.0036646486658177975, 'n_hidden_units': 16, 'dropout': 0.27305461707470274, 'seq_len': 24, 'weight_decay': 0, 'h2': 116, 'features': ['BRENT Close', 'SENT']}"
2.699067,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 4, 'dropout': 0.3469428221306445, 'seq_len': 27, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.8316123,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 2, 'dropout': 0.377601912309742, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.2684827,"{'opt': 'Adamax', 'learning_rate': 0.007453965110391181, 'n_hidden_units': 16, 'dropout': 0.35795806380741196, 'seq_len': 14, 'weight_decay': 0, 'h2': 76, 'features': ['BRENT Close', 'SENT']}"
3.0224721,"{'opt': 'Adam', 'learning_rate': 0.0083642814431902, 'n_hidden_units': 16, 'dropout': 0.4756896824086429, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
4.4785438,"{'opt': 'SGD', 'learning_rate': 0.00870979215167228, 'n_hidden_units': 4, 'dropout': 0.5, 'seq_len': 29, 'weight_decay': 0, 'h2': 110, 'features': ['BRENT Close', 'SENT']}"
2.7688,"{'opt': 'SGD', 'learning_rate': 0.00680254477446898, 'n_hidden_units': 8, 'dropout': 0.40904762576790726, 'seq_len': 29, 'weight_decay': 0, 'h2': 87, 'features': ['BRENT Close', 'SENT']}"
2.8478515,"{'opt': 'Adamax', 'learning_rate': 0.009337466310841798, 'n_hidden_units': 16, 'dropout': 0.2, 'seq_len': 18, 'weight_decay': 0, 'h2': 84, 'features': ['BRENT Close', 'SENT']}"
2.754539,"{'opt': 'SGD', 'learning_rate': 0.009265066137260107, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 19, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.4887922,"{'opt': 'SGD', 'learning_rate': 0.005232529232755617, 'n_hidden_units': 8, 'dropout': 0.48287060719505154, 'seq_len': 21, 'weight_decay': 0, 'h2': 75, 'features': ['BRENT Close', 'SENT']}"
2.455652,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 32, 'dropout': 0.24215481506128544, 'seq_len': 25, 'weight_decay': 0, 'h2': 86, 'features': ['BRENT Close', 'SENT']}"
4.1296663,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 16, 'dropout': 0.3981550712253301, 'seq_len': 28, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
4.1882396,"{'opt': 'SGD', 'learning_rate': 0.0059403433996704615, 'n_hidden_units': 2, 'dropout': 0.5, 'seq_len': 19, 'weight_decay': 0, 'h2': 119, 'features': ['BRENT Close', 'SENT']}"
3.0316448,"{'opt': 'Adamax', 'learning_rate': 0.009723193534589345, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 15, 'weight_decay': 0, 'h2': 92, 'features': ['BRENT Close', 'SENT']}"
2.5159907,"{'opt': 'SGD', 'learning_rate': 0.006999378764268516, 'n_hidden_units': 64, 'dropout': 0.40353492305306055, 'seq_len': 19, 'weight_decay': 0, 'h2': 96, 'features': ['BRENT Close', 'SENT']}"
3.1710777,"{'opt': 'SGD', 'learning_rate': 0.009257463860820393, 'n_hidden_units': 64, 'dropout': 0.35631346036926786, 'seq_len': 6, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
3.2612674,"{'opt': 'Adamax', 'learning_rate': 0.009528153408452159, 'n_hidden_units': 8, 'dropout': 0.4646209695360463, 'seq_len': 20, 'weight_decay': 0, 'h2': 102, 'features': ['BRENT Close', 'SENT']}"
2.7232463,"{'opt': 'SGD', 'learning_rate': 0.004971420930529173, 'n_hidden_units': 64, 'dropout': 0.3924391584459892, 'seq_len': 5, 'weight_decay': 0, 'h2': 84, 'features': ['BRENT Close', 'SENT']}"
14.507778,"{'opt': 'RMSprop', 'learning_rate': 0.005890887783284844, 'n_hidden_units': 8, 'dropout': 0.5, 'seq_len': 22, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
